State,School Type, Students, Disbursements,Average
AK ,Public,6272,21638956.92,3450.088795
AK ,Proprietary,374,1318978,3526.679144
AK ,Private/ Non Profit,228,954422.68,4186.064386
AL ,Public,91260,375584823.6,4115.547048
AL ,Proprietary,26850,92714430.14,3453.051402
AL ,Private/ Non Profit,11110,49499821.44,4455.429473
AR ,Public,57608,233280504.7,4049.446338
AR ,Proprietary,2555,9979398.96,3905.831295
AR ,Private/ Non Profit,6921,29584515.68,4274.601312
AS ,Public,943,4198239.62,4452.003839
AZ ,Public,124950,457743214.3,3663.411079
AZ ,Proprietary,125019,491100825.9,3928.20952
AZ ,Private/ Non Profit,1472,6902513.15,4689.207303
CA ,Public,770582,3078701995,3995.29446
CA ,Proprietary,138437,564238708.7,4075.77966
CA ,Private/ Non Profit,64116,269666119.8,4205.90991
CO ,Public,76779,276983006.9,3607.536005
CO ,Proprietary,35164,135331183.1,3848.571923
CO ,Private/ Non Profit,7091,27136042.12,3826.828673
CT ,Public,42558,152070977.9,3573.264202
CT ,Proprietary,22750,73903172.56,3248.491102
CT ,Private/ Non Profit,13676,55352524.74,4047.420645
DC ,Public,2085,7507515,3600.726619
DC ,Proprietary,29399,107131522.8,3644.053294
DC ,Private/ Non Profit,9226,42267524.46,4581.348847
DE ,Public,12222,44433115.5,3635.502823
DE ,Proprietary,881,3434831.16,3898.786788
DE ,Private/ Non Profit,4644,17398252,3746.393626
FL ,Public,350785,1357464772,3869.791387
FL ,Proprietary,61190,254447285.9,4158.314854
FL ,Private/ Non Profit,90030,409219476.9,4545.367954
FM ,Public,2328,9957846.14,4277.425318
GA ,Public,193238,759095145.5,3928.291255
GA ,Proprietary,20509,79432311.52,3873.046542
GA ,Private/ Non Profit,21403,93314571.56,4359.8828
GU ,Public,3424,13746230.04,4014.669988
GU ,Private/ Non Profit,53,302713,5711.566038
HI ,Public,14828,56594405.18,3816.725464
HI ,Proprietary,796,3386017.47,4253.790791
HI ,Private/ Non Profit,2690,11546844,4292.507063
IA ,Public,43938,166908447.4,3798.726556
IA ,Proprietary,3240,13468074,4156.812963
IA ,Private/ Non Profit,15485,62786946.6,4054.694646
ID ,Public,23452,88275357.17,3764.086524
ID ,Proprietary,2002,8513210.99,4252.353142
ID ,Private/ Non Profit,18169,80486409.12,4429.875564
IL ,Public,152222,567229582.3,3726.331163
IL ,Proprietary,58882,218179388.3,3705.366467
IL ,Private/ Non Profit,48334,202314879,4185.767349
IN ,Public,117156,431830962.1,3685.948326
IN ,Proprietary,14234,54306798.3,3815.287221
IN ,Private/ Non Profit,25166,100860965.3,4007.826644
KS ,Public,49229,185862109.7,3775.459784
KS ,Proprietary,7579,30711253.84,4052.151186
KS ,Private/ Non Profit,8398,33262292.6,3960.739771
